N,avg_percent_below_2A
1,33.22
2,50.23
3,60.96
4,66.51
5,70.25
6,72.79
7,74.09
8,74.94
9,76.04
10,77.01
11,77.50
12,77.84
13,78.42
14,78.79
15,78.95
16,79.12
17,79.17
18,79.17
19,79.17
20,79.17
