docked_file,ligand_RMSD_A,pocket_RMSD_A
rec_11_mol0.pdb,6.149076642958324,1.1216663122177124
rec_11_mol1.pdb,4.948737394528022,1.184086561203003
rec_11_mol10.pdb,3.2787222238324234,1.064170241355896
rec_11_mol11.pdb,3.436503647812493,1.2655583620071411
rec_11_mol12.pdb,3.7001839819122506,1.1639306545257568
rec_11_mol13.pdb,6.424728534097149,1.1641945838928223
rec_11_mol14.pdb,0.961926417369038,1.1387457847595215
rec_11_mol15.pdb,0.8922448920382905,1.1152116060256958
rec_11_mol16.pdb,3.3035137293494032,1.2680639028549194
rec_11_mol17.pdb,6.065299486187212,1.0988152027130127
rec_11_mol18.pdb,4.748406596778896,1.207838773727417
rec_11_mol19.pdb,9.844383804341412,1.0677610635757446
rec_11_mol2.pdb,0.553152343528901,1.137208342552185
rec_11_mol20.pdb,5.829327101772507,1.1303472518920898
rec_11_mol21.pdb,6.499433318154965,1.0975322723388672
rec_11_mol22.pdb,3.7998659625483286,1.2219436168670654
rec_11_mol23.pdb,1.2182824307528537,1.028524398803711
rec_11_mol24.pdb,1.4473822286422735,1.1657888889312744
rec_11_mol25.pdb,1.5890328505100204,1.144952654838562
rec_11_mol26.pdb,4.087478304393662,1.0069407224655151
rec_11_mol27.pdb,4.104153808034002,1.2368316650390625
rec_11_mol28.pdb,1.9012025074565242,1.132871389389038
rec_11_mol29.pdb,0.9076967894283099,1.18905508518219
rec_11_mol3.pdb,2.5401006354267226,1.0890967845916748
rec_11_mol30.pdb,0.9040052756823591,1.0528470277786255
rec_11_mol31.pdb,6.188498832905929,1.1162238121032715
rec_11_mol32.pdb,7.039417965249236,1.0931669473648071
rec_11_mol33.pdb,3.513634881429771,1.1511105298995972
rec_11_mol34.pdb,6.441789270070855,1.068562626838684
rec_11_mol35.pdb,4.930379204156025,1.2002153396606445
rec_11_mol36.pdb,2.3577438125704595,1.046595811843872
rec_11_mol37.pdb,5.022146373812697,1.1867331266403198
rec_11_mol38.pdb,1.677836851425072,1.1704413890838623
rec_11_mol39.pdb,5.164007267340244,1.0971927642822266
rec_11_mol4.pdb,0.7378085353142837,1.10715913772583
rec_11_mol42.pdb,0.8095472093772705,1.149700403213501
rec_11_mol43.pdb,6.229493895529912,1.0920971632003784
rec_11_mol44.pdb,5.511628901428217,1.0297772884368896
rec_11_mol45.pdb,5.517354319392067,1.0554759502410889
rec_11_mol46.pdb,4.90273145136571,1.1079610586166382
rec_11_mol47.pdb,5.91321094899148,1.2028831243515015
rec_11_mol48.pdb,1.789122663419673,1.1490586996078491
rec_11_mol49.pdb,4.156326516935913,1.0839204788208008
rec_11_mol5.pdb,4.869182351708914,1.0618749856948853
rec_11_mol50.pdb,3.5181635253224215,1.1122239828109741
rec_11_mol51.pdb,6.598376874728542,1.1414427757263184
rec_11_mol52.pdb,1.1218190919216875,1.069196343421936
rec_11_mol53.pdb,4.255334694666961,1.117253303527832
rec_11_mol54.pdb,1.0784178805082936,0.9753686785697937
rec_11_mol55.pdb,5.206431398930048,1.023277997970581
rec_11_mol56.pdb,1.3128654729255393,1.0698015689849854
rec_11_mol57.pdb,2.4877119507692202,1.051419973373413
rec_11_mol58.pdb,6.3890592555890855,1.0732357501983643
rec_11_mol59.pdb,5.901617443078164,1.1633880138397217
rec_11_mol6.pdb,5.49485916056494,1.1847368478775024
rec_11_mol60.pdb,3.957568485595899,1.1199023723602295
rec_11_mol61.pdb,1.223381718544254,1.1121193170547485
rec_11_mol62.pdb,7.481582627042433,1.1701661348342896
rec_11_mol63.pdb,5.181591329493513,1.108945608139038
rec_11_mol64.pdb,0.9849199488057674,1.1739933490753174
rec_11_mol66.pdb,4.381772773661363,1.1737794876098633
rec_11_mol67.pdb,5.651338469778641,1.1253267526626587
rec_11_mol68.pdb,5.7410599643520275,1.0978655815124512
rec_11_mol69.pdb,2.9614771195688365,1.2147791385650635
rec_11_mol7.pdb,2.8642830002049657,1.2742382287979126
rec_11_mol70.pdb,6.534232198856376,1.0513739585876465
rec_11_mol71.pdb,6.12754867323444,1.0905650854110718
rec_11_mol72.pdb,5.009388571583473,1.0930202007293701
rec_11_mol73.pdb,5.61226170707942,1.111122727394104
rec_11_mol74.pdb,5.964576364326502,1.055008888244629
rec_11_mol75.pdb,5.944236511724368,1.0118792057037354
rec_11_mol76.pdb,0.6672844107638696,1.1115758419036865
rec_11_mol77.pdb,2.027907243410997,1.2089003324508667
rec_11_mol79.pdb,0.8466656660099071,1.2103298902511597
rec_11_mol8.pdb,1.8529060887385014,0.9967783689498901
rec_11_mol80.pdb,6.324829815892282,1.0647610425949097
rec_11_mol81.pdb,6.4714716255269185,1.1098664999008179
rec_11_mol82.pdb,0.4899288063526347,1.080675482749939
rec_11_mol83.pdb,1.1849667328219546,1.1857186555862427
rec_11_mol85.pdb,6.02974548043477,1.0831300020217896
rec_11_mol86.pdb,1.321493482768644,1.0830656290054321
rec_11_mol87.pdb,0.8278116681315485,1.1345418691635132
rec_11_mol88.pdb,2.7107233147056697,1.0995792150497437
rec_11_mol89.pdb,1.00945420896641,1.2002164125442505
rec_11_mol9.pdb,6.644422430021395,1.0973527431488037
rec_11_mol90.pdb,6.528124034649211,1.2039793729782104
rec_11_mol91.pdb,5.2180455688718865,1.1437946557998657
rec_11_mol92.pdb,3.89181771298594,1.2218024730682373
rec_11_mol93.pdb,5.274913586377505,1.1672234535217285
rec_11_mol94.pdb,5.362077416656927,1.2376171350479126
rec_11_mol95.pdb,1.981618187498702,1.0513373613357544
rec_11_mol96.pdb,4.717471949138552,1.149066686630249
rec_12_mol0.pdb,2.23631727427472,1.165420413017273
rec_12_mol1.pdb,4.9461103101326,1.094247579574585
rec_12_mol10.pdb,0.8539519738745326,1.093888759613037
rec_12_mol11.pdb,3.4365247187903565,1.2655837535858154
rec_12_mol12.pdb,4.377906643971904,1.152824878692627
rec_12_mol13.pdb,6.425238613222245,1.1605383157730103
rec_12_mol14.pdb,0.9551971637424503,1.1656227111816406
rec_12_mol15.pdb,1.6412402242463504,1.1133058071136475
rec_12_mol16.pdb,3.4921567146965216,1.2281219959259033
rec_12_mol17.pdb,1.2418416278138806,1.127206563949585
rec_12_mol18.pdb,4.748964233563638,1.2297765016555786
rec_12_mol19.pdb,9.843801259207199,1.0621261596679688
rec_12_mol2.pdb,4.955401359765285,1.1644117832183838
rec_12_mol20.pdb,5.628148471408355,1.1273252964019775
rec_12_mol21.pdb,0.6453365456433232,1.1366809606552124
rec_12_mol23.pdb,1.3388108075371883,1.083459734916687
rec_12_mol24.pdb,1.4297183381057226,1.1482055187225342
rec_12_mol25.pdb,2.452028502077413,1.2013792991638184
rec_12_mol26.pdb,4.087924892402737,1.1537981033325195
rec_12_mol27.pdb,4.099208533363483,1.2103934288024902
rec_12_mol28.pdb,1.1129464935188471,1.1526275873184204
rec_12_mol29.pdb,0.9293501037739306,1.1700135469436646
rec_12_mol3.pdb,1.8095381612839383,1.1117953062057495
rec_12_mol30.pdb,0.9392754982104355,1.1161434650421143
rec_12_mol31.pdb,1.193333187991089,1.1507312059402466
rec_12_mol32.pdb,1.2408765365447798,1.1258506774902344
rec_12_mol33.pdb,3.3634092346903017,1.1186659336090088
rec_12_mol34.pdb,1.0031805990377376,1.1365878582000732
rec_12_mol35.pdb,4.925506605678308,1.1921427249908447
rec_12_mol36.pdb,1.1165955400233334,1.1262422800064087
rec_12_mol37.pdb,5.018176587832145,1.1529844999313354
rec_12_mol39.pdb,5.660465725412656,1.162216305732727
rec_12_mol4.pdb,0.7737972715067584,1.1458090543746948
rec_12_mol40.pdb,2.1325054747878145,1.1130447387695312
rec_12_mol42.pdb,0.8198629057412746,1.1337367296218872
rec_12_mol43.pdb,1.8500311108495207,1.1415560245513916
rec_12_mol44.pdb,2.146524153410921,1.1111916303634644
rec_12_mol45.pdb,5.619561203002038,1.1234067678451538
rec_12_mol46.pdb,2.186081070630369,1.1584067344665527
rec_12_mol47.pdb,5.951978858609407,1.2468528747558594
rec_12_mol48.pdb,1.7889545630259671,1.1779470443725586
rec_12_mol49.pdb,3.699021065924584,1.1309398412704468
rec_12_mol5.pdb,1.1003025097232242,1.1290282011032104
rec_12_mol50.pdb,3.2710250895344166,1.151401162147522
rec_12_mol51.pdb,2.2822365075054067,1.2058719396591187
rec_12_mol52.pdb,0.7324543330474605,1.164376139640808
rec_12_mol54.pdb,1.2991969250271493,1.0860594511032104
rec_12_mol55.pdb,5.3206462179391885,1.1067911386489868
rec_12_mol56.pdb,1.3127604662186727,1.1247806549072266
rec_12_mol57.pdb,2.49275473121605,1.1424330472946167
rec_12_mol58.pdb,1.156486452270719,1.153022289276123
rec_12_mol59.pdb,1.1855504464640514,1.2364261150360107
rec_12_mol6.pdb,3.0535707467742665,1.1386080980300903
rec_12_mol60.pdb,3.1617088446252946,1.1821995973587036
rec_12_mol61.pdb,1.4002488454800786,1.1536364555358887
rec_12_mol62.pdb,1.221872667584259,1.1724001169204712
rec_12_mol63.pdb,5.295076981054583,1.1477899551391602
rec_12_mol64.pdb,0.9652317367117369,1.1681989431381226
rec_12_mol65.pdb,3.839625602152622,1.0550673007965088
rec_12_mol66.pdb,4.448865779049757,1.1282700300216675
rec_12_mol68.pdb,2.2860888121730656,1.1671569347381592
rec_12_mol69.pdb,2.9034550434248487,1.1734287738800049
rec_12_mol7.pdb,3.965895272922556,1.246935486793518
rec_12_mol70.pdb,0.6894391095044482,1.1200453042984009
rec_12_mol71.pdb,1.3616093943775294,1.1029810905456543
rec_12_mol72.pdb,5.462074585519478,1.0951108932495117
rec_12_mol73.pdb,1.5274211825000983,1.191648006439209
rec_12_mol74.pdb,0.6209375501420981,1.1333191394805908
rec_12_mol75.pdb,4.54794333845048,1.0818862915039062
rec_12_mol76.pdb,0.6293813701492194,1.1131575107574463
rec_12_mol77.pdb,2.652130481501446,1.146209716796875
rec_12_mol79.pdb,2.814023009856174,1.1599202156066895
rec_12_mol8.pdb,4.31797559474832,1.1063430309295654
rec_12_mol80.pdb,1.3469872838513148,1.0934388637542725
rec_12_mol81.pdb,0.8703556580091679,1.1590497493743896
rec_12_mol82.pdb,0.839905106684853,1.0976680517196655
rec_12_mol83.pdb,1.1493377727149987,1.1378579139709473
rec_12_mol84.pdb,6.23236173991392,1.2255475521087646
rec_12_mol85.pdb,0.8716080811114725,1.1366703510284424
rec_12_mol86.pdb,0.8830002831256625,1.0808659791946411
rec_12_mol87.pdb,0.6509087372362783,1.170915126800537
rec_12_mol88.pdb,2.936696244648625,1.1412142515182495
rec_12_mol89.pdb,1.0098702144335183,1.1857075691223145
rec_12_mol9.pdb,0.9279736757350086,1.1282730102539062
rec_12_mol90.pdb,0.8917750969439614,1.1465920209884644
rec_12_mol91.pdb,0.6331828562206694,1.21552574634552
rec_12_mol92.pdb,3.890648765285144,1.2005559206008911
rec_12_mol93.pdb,0.5352579401559588,1.1480357646942139
rec_12_mol94.pdb,5.344338096943759,1.2094388008117676
rec_12_mol95.pdb,5.821157588200707,1.1434136629104614
rec_12_mol96.pdb,1.6712515859787132,1.1602479219436646
rec_13_mol1.pdb,4.947691902965126,1.2373900413513184
rec_13_mol11.pdb,3.4348311353793552,1.2761056423187256
rec_13_mol12.pdb,3.7228836325712176,1.2122814655303955
rec_13_mol14.pdb,7.264699000479481,1.2387735843658447
rec_13_mol16.pdb,3.303793673945151,1.3438688516616821
rec_13_mol17.pdb,6.046500983449614,1.210620641708374
rec_13_mol18.pdb,4.749062153029094,1.2918504476547241
rec_13_mol19.pdb,9.842884992437886,1.0740766525268555
rec_13_mol20.pdb,5.626247465277415,1.2038207054138184
rec_13_mol22.pdb,5.392346829844436,1.2807114124298096
rec_13_mol23.pdb,7.171174620132494,1.1623181104660034
rec_13_mol26.pdb,3.9997856146252344,1.201944351196289
rec_13_mol27.pdb,4.098866926359039,1.280139446258545
rec_13_mol29.pdb,5.999696597029741,1.2513357400894165
rec_13_mol32.pdb,6.858649546759417,1.177547574043274
rec_13_mol33.pdb,3.3633262167086917,1.2480984926223755
rec_13_mol35.pdb,4.878559930963234,1.2825725078582764
rec_13_mol37.pdb,5.0193658131945975,1.2379562854766846
rec_13_mol38.pdb,6.202725743574352,1.2173798084259033
rec_13_mol39.pdb,5.215241347654556,1.2044384479522705
rec_13_mol4.pdb,2.9967386983330653,1.169061541557312
rec_13_mol43.pdb,6.184285236701886,1.1802963018417358
rec_13_mol48.pdb,4.712252590448699,1.2265371084213257
rec_13_mol49.pdb,4.138024203371979,1.188826322555542
rec_13_mol5.pdb,4.868698554326734,1.1956135034561157
rec_13_mol50.pdb,3.2790503752818996,1.2079014778137207
rec_13_mol56.pdb,3.7947790888710946,1.2045854330062866
rec_13_mol6.pdb,4.508448017641745,1.2642779350280762
rec_13_mol60.pdb,3.167576109439347,1.208799123764038
rec_13_mol62.pdb,7.349157964656474,1.2220242023468018
rec_13_mol64.pdb,6.949212181567379,1.239817500114441
rec_13_mol66.pdb,5.274356480178411,1.2162715196609497
rec_13_mol68.pdb,5.67745218511664,1.254244089126587
rec_13_mol69.pdb,3.7516914599698645,1.3079259395599365
rec_13_mol7.pdb,3.0830421578967133,1.3282312154769897
rec_13_mol73.pdb,5.614515122653068,1.2953979969024658
rec_13_mol74.pdb,5.870117951515615,1.2019685506820679
rec_13_mol76.pdb,5.9559886795993116,1.2116420269012451
rec_13_mol77.pdb,4.353803011927234,1.2575770616531372
rec_13_mol79.pdb,3.079666507919324,1.2749660015106201
rec_13_mol8.pdb,6.776225233937596,1.155353307723999
rec_13_mol80.pdb,6.184270020440107,1.2417354583740234
rec_13_mol81.pdb,6.086144798991041,1.1763733625411987
rec_13_mol84.pdb,5.979487961833712,1.2617411613464355
rec_13_mol85.pdb,5.927272984215572,1.2098331451416016
rec_13_mol88.pdb,4.040306107765158,1.184099555015564
rec_13_mol89.pdb,3.4043270700683275,1.2719886302947998
rec_13_mol90.pdb,6.142542817490642,1.2523468732833862
rec_13_mol92.pdb,3.892259840589612,1.2901580333709717
rec_13_mol93.pdb,5.516873494675223,1.2494269609451294
rec_13_mol94.pdb,4.795114440761555,1.3385052680969238
rec_13_mol96.pdb,4.238342128710234,1.262311577796936
rec_14_mol1.pdb,4.713705492143805,1.2215279340744019
rec_14_mol11.pdb,3.4364172060862623,1.396710753440857
rec_14_mol12.pdb,4.392204751982008,1.22767174243927
rec_14_mol13.pdb,1.7774239934893359,1.2076469659805298
rec_14_mol14.pdb,0.8063600899068574,1.2279746532440186
rec_14_mol15.pdb,0.8993844386140178,1.1863689422607422
rec_14_mol16.pdb,3.298268903531063,1.3531947135925293
rec_14_mol17.pdb,2.6444338578552933,1.2213927507400513
rec_14_mol18.pdb,3.8731320712914843,1.300601601600647
rec_14_mol19.pdb,9.874389414424181,1.1324604749679565
rec_14_mol2.pdb,4.949811312595969,1.1636018753051758
