N,Iteration,Molecule,LowestRMSD
1,2,mol80,1.3469306225637607
1,2,mol81,0.887150458651583
1,2,mol82,0.4898612756809469
1,2,mol83,1.0627200188295376
1,2,mol84,0.7771165898922209
1,2,mol85,5.978949434006928
1,2,mol86,1.3715259246547258
1,2,mol87,1.008050445949481
1,2,mol88,4.866330303701366
1,2,mol89,3.4043925941348188
1,2,mol90,6.142623949262956
1,2,mol91,0.698368039452989
1,2,mol92,1.68519260213671
1,2,mol93,0.6230877371004825
1,2,mol94,5.362053653918432
1,2,mol95,1.9947656372205471
1,2,mol96,1.4908143086002603
1,3,mol0,6.253898575990859
1,3,mol1,2.5272700432812214
1,3,mol2,3.2034381143428137
1,3,mol3,2.91101621505029
1,3,mol4,2.9803915638575154
1,3,mol5,2.267196366411822
1,3,mol6,3.053525802112481
1,3,mol7,2.3607375175656666
1,3,mol8,3.673174120387463
1,3,mol9,2.9932364165135468
1,3,mol10,0.8884947993213311
1,3,mol11,3.4365511882762423
1,3,mol12,4.392160448695304
1,3,mol13,1.606021321546871
1,3,mol14,0.8063614954543351
1,3,mol15,1.522727627871843
1,3,mol16,3.303731375278565
1,3,mol17,2.088132003353373
1,3,mol18,4.748461716177145
1,3,mol19,9.875868333247514
1,3,mol20,6.0733297281661764
1,3,mol21,6.499438972095976
1,3,mol22,1.1246751004919895
1,3,mol23,1.2637750540730326
1,3,mol24,6.177740616370835
1,3,mol25,6.096334743905555
1,3,mol26,4.176407604406944
1,3,mol27,4.376638273378324
1,3,mol28,5.733617301226432
1,3,mol29,2.170406675174269
1,3,mol30,0.9039916911633136
1,3,mol31,2.5509536127476413
1,3,mol32,1.686719545995156
1,3,mol33,3.36320135662437
1,3,mol34,4.099264309639684
1,3,mol35,4.926708796791941
1,3,mol36,2.654979720234628
1,3,mol37,3.1900571340233603
1,3,mol38,6.262745260666444
1,3,mol39,4.524173927028006
1,3,mol40,5.402255370623326
1,3,mol41,0.9265796421020129
1,3,mol42,1.6145177476164272
1,3,mol43,1.868803511831389
1,3,mol44,5.519382876921913
1,3,mol45,5.527217711186808
1,3,mol46,5.043470955914972
1,3,mol47,0.5635973799324006
1,3,mol48,1.5347125963297927
1,3,mol49,4.156302908882438
1,3,mol50,4.5574525464541935
1,3,mol51,1.6416149816132715
1,3,mol52,2.036250068631061
1,3,mol53,3.8666364467242538
1,3,mol54,2.5755987148622355
1,3,mol55,0.9508105679768557
1,3,mol56,2.1921275722267324
1,3,mol57,5.763642575685101
1,3,mol58,3.9517602395460605
1,3,mol59,3.3563200930400616
1,3,mol60,3.957470618853778
1,3,mol61,2.298936415749364
1,3,mol62,1.8983477583359025
1,3,mol63,5.217561059650043
1,3,mol64,0.9941040003999135
1,3,mol65,4.038132442398706
1,3,mol66,4.174279840355699
1,3,mol67,6.022053628691969
1,3,mol68,2.2889166642759196
1,3,mol69,3.417335346159067
1,3,mol70,3.067838151160241
1,3,mol71,1.3616361559325814
1,3,mol72,1.6603105228306607
1,3,mol73,5.612197547780414
1,3,mol74,0.6495002452112022
1,3,mol75,6.371958992449922
1,3,mol76,0.650879913981252
1,3,mol77,2.7622036810774064
1,3,mol79,2.814004067871971
1,3,mol80,6.184304572914519
1,3,mol81,0.8863464748215404
1,3,mol82,0.8690063250294421
1,3,mol83,1.185044081569609
1,3,mol84,5.712731465770117
1,3,mol85,0.9797823973599804
1,3,mol86,2.980589588822989
1,3,mol87,0.8278031112847012
1,3,mol88,4.405164885582225
1,3,mol89,3.404340923732522
1,3,mol90,3.9573891994819608
1,3,mol91,0.682158042538531
1,3,mol92,3.433030426066203
1,3,mol93,2.659008820853176
1,3,mol94,5.362053653918432
1,3,mol95,5.922682185939157
1,3,mol96,1.4795210106345538
1,4,mol0,6.288231587753389
1,4,mol1,4.941402551064492
1,4,mol2,0.7976211949328208
1,4,mol3,2.5400568196681856
1,4,mol4,0.7876727056997399
1,4,mol5,1.1003301070661158
1,4,mol6,4.508463153614544
1,4,mol7,1.0434215555716582
1,4,mol8,1.8324610781391069
1,4,mol9,0.7384642438389089
1,4,mol10,0.8310690502694642
1,4,mol11,3.436529183170967
1,4,mol12,4.377247937583994
1,4,mol13,1.606021321546871
1,4,mol14,0.8063614954543351
1,4,mol15,1.1571541917225432
1,4,mol16,2.894973166024169
1,4,mol17,2.10098269673979
1,4,mol18,4.749019371056162
1,4,mol19,9.277947338039588
1,4,mol20,5.8313318721577865
1,4,mol21,1.0529534126175086
1,4,mol22,1.1246751004919895
1,4,mol23,1.322814666289783
1,4,mol24,6.584000664449669
1,4,mol25,2.4214440949049387
1,4,mol26,4.083948175524559
1,4,mol27,4.098603386520828
1,4,mol28,2.6362977367746376
1,4,mol29,6.404443371177185
1,4,mol30,0.9039916911633136
1,4,mol31,1.1523195050450707
1,4,mol32,1.6634787425278705
1,4,mol33,3.5140036250977316
1,4,mol34,0.8328923169979933
1,4,mol35,4.925544154710218
1,4,mol36,6.835120607191737
1,4,mol37,5.00547448550085
1,4,mol38,6.519281156308568
1,4,mol39,5.653194685359017
1,4,mol40,5.418274937204908
1,4,mol41,0.9468960936160119
1,4,mol42,6.313702805844309
1,4,mol43,1.7311806229179745
1,4,mol44,2.4733818502918106
1,4,mol45,5.55804951281087
1,4,mol46,1.9924887238669236
1,4,mol47,5.953822717049998
1,4,mol48,1.7892858460982748
1,4,mol49,4.137977393467267
1,4,mol50,1.8365249409241255
