N,percent_below_2A
1,53.125
2,55.208333333333336
3,62.5
4,65.625
5,67.70833333333333
6,71.875
7,71.875
8,75.0
9,75.0
10,75.0
11,75.0
12,77.08333333333333
13,78.125
14,79.16666666666667
15,79.16666666666667
16,79.16666666666667
17,79.16666666666667
18,79.16666666666667
19,79.16666666666667
20,79.16666666666667
