docked_file,ligand_RMSD_A
rec_11_mol0.pdb,6.149076642958324
rec_11_mol1.pdb,4.948737394528022
rec_11_mol10.pdb,3.2787222238324234
rec_11_mol11.pdb,3.436503647812493
rec_11_mol12.pdb,3.7001839819122506
rec_11_mol13.pdb,6.424728534097149
rec_11_mol14.pdb,0.961926417369038
rec_11_mol15.pdb,0.8922448920382905
rec_11_mol16.pdb,3.3035137293494032
rec_11_mol17.pdb,6.065299486187212
rec_11_mol18.pdb,4.748406596778896
rec_11_mol19.pdb,9.844383804341412
rec_11_mol2.pdb,0.553152343528901
rec_11_mol20.pdb,5.829327101772507
rec_11_mol21.pdb,6.499433318154965
rec_11_mol22.pdb,3.7998659625483286
rec_11_mol23.pdb,1.2182824307528537
rec_11_mol24.pdb,1.4473822286422735
rec_11_mol25.pdb,1.5890328505100204
rec_11_mol26.pdb,4.087478304393662
rec_11_mol27.pdb,4.104153808034002
rec_11_mol28.pdb,1.9012025074565242
rec_11_mol29.pdb,0.9076967894283099
rec_11_mol3.pdb,2.5401006354267226
rec_11_mol30.pdb,0.9040052756823591
rec_11_mol31.pdb,6.188498832905929
rec_11_mol32.pdb,7.039417965249236
rec_11_mol33.pdb,3.513634881429771
rec_11_mol34.pdb,6.441789270070855
rec_11_mol35.pdb,4.930379204156025
rec_11_mol36.pdb,2.3577438125704595
rec_11_mol37.pdb,5.022146373812697
rec_11_mol38.pdb,1.677836851425072
rec_11_mol39.pdb,5.164007267340244
rec_11_mol4.pdb,0.7378085353142837
rec_11_mol42.pdb,0.8095472093772705
rec_11_mol43.pdb,6.229493895529912
rec_11_mol44.pdb,5.511628901428217
rec_11_mol45.pdb,5.517354319392067
rec_11_mol46.pdb,4.90273145136571
rec_11_mol47.pdb,5.91321094899148
rec_11_mol48.pdb,1.789122663419673
rec_11_mol49.pdb,4.156326516935913
rec_11_mol5.pdb,4.869182351708914
rec_11_mol50.pdb,3.5181635253224215
rec_11_mol51.pdb,6.598376874728542
rec_11_mol52.pdb,1.1218190919216875
rec_11_mol53.pdb,4.255334694666961
rec_11_mol54.pdb,1.0784178805082936
rec_11_mol55.pdb,5.206431398930048
rec_11_mol56.pdb,1.3128654729255393
rec_11_mol57.pdb,2.4877119507692202
rec_11_mol58.pdb,6.3890592555890855
rec_11_mol59.pdb,5.901617443078164
rec_11_mol6.pdb,5.49485916056494
rec_11_mol60.pdb,3.957568485595899
rec_11_mol61.pdb,1.223381718544254
rec_11_mol62.pdb,7.481582627042433
rec_11_mol63.pdb,5.181591329493513
rec_11_mol64.pdb,0.9849199488057674
rec_11_mol66.pdb,4.381772773661363
rec_11_mol67.pdb,5.651338469778641
rec_11_mol68.pdb,5.7410599643520275
rec_11_mol69.pdb,2.9614771195688365
rec_11_mol7.pdb,2.8642830002049657
rec_11_mol70.pdb,6.534232198856376
rec_11_mol71.pdb,6.12754867323444
rec_11_mol72.pdb,5.009388571583473
rec_11_mol73.pdb,5.61226170707942
rec_11_mol74.pdb,5.964576364326502
rec_11_mol75.pdb,5.944236511724368
rec_11_mol76.pdb,0.6672844107638696
rec_11_mol77.pdb,2.027907243410997
rec_11_mol79.pdb,0.8466656660099071
rec_11_mol8.pdb,1.8529060887385014
rec_11_mol80.pdb,6.324829815892282
rec_11_mol81.pdb,6.4714716255269185
rec_11_mol82.pdb,0.4899288063526347
rec_11_mol83.pdb,1.1849667328219546
rec_11_mol85.pdb,6.02974548043477
rec_11_mol86.pdb,1.321493482768644
rec_11_mol87.pdb,0.8278116681315485
rec_11_mol88.pdb,2.7107233147056697
rec_11_mol89.pdb,1.00945420896641
rec_11_mol9.pdb,6.644422430021395
rec_11_mol90.pdb,6.528124034649211
rec_11_mol91.pdb,5.2180455688718865
rec_11_mol92.pdb,3.89181771298594
rec_11_mol93.pdb,5.274913586377505
rec_11_mol94.pdb,5.362077416656927
rec_11_mol95.pdb,1.981618187498702
rec_11_mol96.pdb,4.717471949138552
rec_12_mol0.pdb,2.23631727427472
rec_12_mol1.pdb,4.9461103101326
rec_12_mol10.pdb,0.8539519738745326
rec_12_mol11.pdb,3.4365247187903565
rec_12_mol12.pdb,4.377906643971904
rec_12_mol13.pdb,6.425238613222245
rec_12_mol14.pdb,0.9551971637424503
rec_12_mol15.pdb,1.6412402242463504
rec_12_mol16.pdb,3.4921567146965216
rec_12_mol17.pdb,1.2418416278138806
rec_12_mol18.pdb,4.748964233563638
rec_12_mol19.pdb,9.843801259207199
rec_12_mol2.pdb,4.955401359765285
rec_12_mol20.pdb,5.628148471408355
rec_12_mol21.pdb,0.6453365456433232
rec_12_mol23.pdb,1.3388108075371883
rec_12_mol24.pdb,1.4297183381057226
rec_12_mol25.pdb,2.452028502077413
rec_12_mol26.pdb,4.087924892402737
rec_12_mol27.pdb,4.099208533363483
rec_12_mol28.pdb,1.1129464935188471
rec_12_mol29.pdb,0.9293501037739306
rec_12_mol3.pdb,1.8095381612839383
rec_12_mol30.pdb,0.9392754982104355
rec_12_mol31.pdb,1.193333187991089
rec_12_mol32.pdb,1.2408765365447798
rec_12_mol33.pdb,3.3634092346903017
rec_12_mol34.pdb,1.0031805990377376
rec_12_mol35.pdb,4.925506605678308
rec_12_mol36.pdb,1.1165955400233334
rec_12_mol37.pdb,5.018176587832145
rec_12_mol39.pdb,5.660465725412656
rec_12_mol4.pdb,0.7737972715067584
rec_12_mol40.pdb,2.1325054747878145
rec_12_mol42.pdb,0.8198629057412746
rec_12_mol43.pdb,1.8500311108495207
rec_12_mol44.pdb,2.146524153410921
