N,percent_below_2.0A
1,53.125
2,55.208333333333336
3,63.541666666666664
4,65.625
5,67.70833333333333
6,68.75
7,71.875
8,75.0
9,76.04166666666667
10,76.04166666666667
11,77.08333333333333
12,78.125
13,79.16666666666667
14,79.16666666666667
15,79.16666666666667
16,79.16666666666667
17,79.16666666666667
18,79.16666666666667
19,79.16666666666667
20,79.16666666666667
