N,percent_below_2A
1,42.5531914893617
2,56.38297872340426
3,60.638297872340424
4,63.829787234042556
5,67.02127659574468
6,69.14893617021276
7,74.46808510638297
8,75.53191489361703
9,75.53191489361703
10,77.65957446808511
11,78.72340425531915
12,78.72340425531915
13,82.97872340425532
14,82.97872340425532
15,84.04255319148936
16,84.04255319148936
17,89.36170212765957
18,90.42553191489361
19,90.42553191489361
20,90.42553191489361
