mol_id,ligand,receptor,score
mol3,rec_5_mol3.sdf,rec_final_5-noH.pdb,18.0784
mol3,rec_10_mol3.sdf,rec_final_10-noH.pdb,17.5523
mol4,rec_3_mol4.sdf,rec_final_3-noH.pdb,22.2305
mol4,rec_20_mol4.sdf,rec_final_20-noH.pdb,21.3168
mol4,rec_14_mol4.sdf,rec_final_14-noH.pdb,20.5707
mol4,rec_19_mol4.sdf,rec_final_19-noH.pdb,20.2776
mol4,rec_9_mol4.sdf,rec_final_9-noH.pdb,19.9667
mol4,rec_8_mol4.sdf,rec_final_8-noH.pdb,19.8641
mol4,rec_13_mol4.sdf,rec_final_13-noH.pdb,19.7495
mol4,rec_2_mol4.sdf,rec_final_2-noH.pdb,19.5833
mol4,rec_11_mol4.sdf,rec_final_11-noH.pdb,19.4320
mol4,rec_7_mol4.sdf,rec_final_7-noH.pdb,19.3619
mol4,rec_18_mol4.sdf,rec_final_18-noH.pdb,19.1265
mol4,rec_16_mol4.sdf,rec_final_16-noH.pdb,19.1110
mol4,rec_17_mol4.sdf,rec_final_17-noH.pdb,19.0875
mol4,rec_10_mol4.sdf,rec_final_10-noH.pdb,19.0491
mol4,rec_6_mol4.sdf,rec_final_6-noH.pdb,18.9334
mol4,rec_4_mol4.sdf,rec_final_4-noH.pdb,18.6983
mol4,rec_5_mol4.sdf,rec_final_5-noH.pdb,18.3716
mol4,rec_15_mol4.sdf,rec_final_15-noH.pdb,18.0928
mol4,rec_1_mol4.sdf,rec_final_1-noH.pdb,17.3841
mol4,rec_12_mol4.sdf,rec_final_12-noH.pdb,15.9847
mol5,rec_7_mol5.sdf,rec_final_7-noH.pdb,24.6143
mol5,rec_8_mol5.sdf,rec_final_8-noH.pdb,24.3287
mol5,rec_20_mol5.sdf,rec_final_20-noH.pdb,23.8853
mol5,rec_3_mol5.sdf,rec_final_3-noH.pdb,23.6070
mol5,rec_6_mol5.sdf,rec_final_6-noH.pdb,23.4561
mol5,rec_14_mol5.sdf,rec_final_14-noH.pdb,22.1189
mol5,rec_2_mol5.sdf,rec_final_2-noH.pdb,21.6432
mol5,rec_13_mol5.sdf,rec_final_13-noH.pdb,21.2269
mol5,rec_9_mol5.sdf,rec_final_9-noH.pdb,20.9898
mol5,rec_17_mol5.sdf,rec_final_17-noH.pdb,20.9804
mol5,rec_1_mol5.sdf,rec_final_1-noH.pdb,20.9318
mol5,rec_11_mol5.sdf,rec_final_11-noH.pdb,20.8215
mol5,rec_19_mol5.sdf,rec_final_19-noH.pdb,20.6785
mol5,rec_18_mol5.sdf,rec_final_18-noH.pdb,20.4759
mol5,rec_12_mol5.sdf,rec_final_12-noH.pdb,20.2456
mol5,rec_15_mol5.sdf,rec_final_15-noH.pdb,19.8753
mol5,rec_16_mol5.sdf,rec_final_16-noH.pdb,19.3981
mol5,rec_4_mol5.sdf,rec_final_4-noH.pdb,19.3963
mol5,rec_10_mol5.sdf,rec_final_10-noH.pdb,18.8920
mol5,rec_5_mol5.sdf,rec_final_5-noH.pdb,17.8680
mol6,rec_7_mol6.sdf,rec_final_7-noH.pdb,18.4292
mol6,rec_14_mol6.sdf,rec_final_14-noH.pdb,17.9115
mol6,rec_11_mol6.sdf,rec_final_11-noH.pdb,17.0977
mol6,rec_17_mol6.sdf,rec_final_17-noH.pdb,16.5179
mol6,rec_2_mol6.sdf,rec_final_2-noH.pdb,16.1606
mol6,rec_6_mol6.sdf,rec_final_6-noH.pdb,15.8565
mol6,rec_13_mol6.sdf,rec_final_13-noH.pdb,15.5761
mol6,rec_9_mol6.sdf,rec_final_9-noH.pdb,15.5598
mol6,rec_10_mol6.sdf,rec_final_10-noH.pdb,15.5413
mol6,rec_20_mol6.sdf,rec_final_20-noH.pdb,15.4575
mol6,rec_3_mol6.sdf,rec_final_3-noH.pdb,15.2910
mol6,rec_16_mol6.sdf,rec_final_16-noH.pdb,14.7553
mol6,rec_18_mol6.sdf,rec_final_18-noH.pdb,14.7361
mol6,rec_12_mol6.sdf,rec_final_12-noH.pdb,14.7053
mol6,rec_4_mol6.sdf,rec_final_4-noH.pdb,14.4990
mol6,rec_1_mol6.sdf,rec_final_1-noH.pdb,14.3401
mol6,rec_5_mol6.sdf,rec_final_5-noH.pdb,14.3082
mol6,rec_19_mol6.sdf,rec_final_19-noH.pdb,14.0694
mol6,rec_8_mol6.sdf,rec_final_8-noH.pdb,13.8608
mol6,rec_15_mol6.sdf,rec_final_15-noH.pdb,12.6944
mol7,rec_19_mol7.sdf,rec_final_19-noH.pdb,18.2884
mol7,rec_20_mol7.sdf,rec_final_20-noH.pdb,18.1116
mol7,rec_7_mol7.sdf,rec_final_7-noH.pdb,17.7189
mol7,rec_17_mol7.sdf,rec_final_17-noH.pdb,17.5225
mol7,rec_18_mol7.sdf,rec_final_18-noH.pdb,17.4775
mol7,rec_14_mol7.sdf,rec_final_14-noH.pdb,17.3678
mol7,rec_13_mol7.sdf,rec_final_13-noH.pdb,16.9633
mol7,rec_11_mol7.sdf,rec_final_11-noH.pdb,16.6569
mol7,rec_4_mol7.sdf,rec_final_4-noH.pdb,16.6210
mol7,rec_8_mol7.sdf,rec_final_8-noH.pdb,16.5037
mol7,rec_16_mol7.sdf,rec_final_16-noH.pdb,16.4466
mol7,rec_6_mol7.sdf,rec_final_6-noH.pdb,16.4260
mol7,rec_2_mol7.sdf,rec_final_2-noH.pdb,16.2814
mol7,rec_10_mol7.sdf,rec_final_10-noH.pdb,16.2533
mol7,rec_9_mol7.sdf,rec_final_9-noH.pdb,16.2203
mol7,rec_3_mol7.sdf,rec_final_3-noH.pdb,15.8545
mol7,rec_5_mol7.sdf,rec_final_5-noH.pdb,15.7907
mol7,rec_12_mol7.sdf,rec_final_12-noH.pdb,15.7832
mol7,rec_15_mol7.sdf,rec_final_15-noH.pdb,15.6974
mol7,rec_1_mol7.sdf,rec_final_1-noH.pdb,15.0862
mol8,rec_9_mol8.sdf,rec_final_9-noH.pdb,23.0756
mol8,rec_2_mol8.sdf,rec_final_2-noH.pdb,22.7490
mol8,rec_13_mol8.sdf,rec_final_13-noH.pdb,22.3591
mol8,rec_17_mol8.sdf,rec_final_17-noH.pdb,21.6833
mol8,rec_7_mol8.sdf,rec_final_7-noH.pdb,21.3654
mol8,rec_6_mol8.sdf,rec_final_6-noH.pdb,21.1224
mol8,rec_19_mol8.sdf,rec_final_19-noH.pdb,20.6532
mol8,rec_18_mol8.sdf,rec_final_18-noH.pdb,20.6393
mol8,rec_5_mol8.sdf,rec_final_5-noH.pdb,20.3372
mol8,rec_3_mol8.sdf,rec_final_3-noH.pdb,20.0021
mol8,rec_20_mol8.sdf,rec_final_20-noH.pdb,19.7494
mol8,rec_11_mol8.sdf,rec_final_11-noH.pdb,19.7090
mol8,rec_16_mol8.sdf,rec_final_16-noH.pdb,19.2045
mol8,rec_14_mol8.sdf,rec_final_14-noH.pdb,19.1244
mol8,rec_12_mol8.sdf,rec_final_12-noH.pdb,19.0705
mol8,rec_1_mol8.sdf,rec_final_1-noH.pdb,18.9462
mol8,rec_15_mol8.sdf,rec_final_15-noH.pdb,18.2344
mol8,rec_4_mol8.sdf,rec_final_4-noH.pdb,17.0591
mol8,rec_10_mol8.sdf,rec_final_10-noH.pdb,16.8048
mol9,rec_6_mol9.sdf,rec_final_6-noH.pdb,18.0091
mol9,rec_20_mol9.sdf,rec_final_20-noH.pdb,16.7737
mol9,rec_7_mol9.sdf,rec_final_7-noH.pdb,16.5613
mol9,rec_14_mol9.sdf,rec_final_14-noH.pdb,16.3281
mol9,rec_19_mol9.sdf,rec_final_19-noH.pdb,16.2470
mol9,rec_2_mol9.sdf,rec_final_2-noH.pdb,16.1460
mol9,rec_13_mol9.sdf,rec_final_13-noH.pdb,15.9014
mol9,rec_9_mol9.sdf,rec_final_9-noH.pdb,15.7907
mol9,rec_16_mol9.sdf,rec_final_16-noH.pdb,15.4107
mol9,rec_8_mol9.sdf,rec_final_8-noH.pdb,15.3847
mol9,rec_3_mol9.sdf,rec_final_3-noH.pdb,14.9592
mol9,rec_15_mol9.sdf,rec_final_15-noH.pdb,14.2964
mol9,rec_10_mol9.sdf,rec_final_10-noH.pdb,13.9018
mol9,rec_4_mol9.sdf,rec_final_4-noH.pdb,13.5127
mol9,rec_12_mol9.sdf,rec_final_12-noH.pdb,13.1917
mol9,rec_17_mol9.sdf,rec_final_17-noH.pdb,12.4417
mol9,rec_1_mol9.sdf,rec_final_1-noH.pdb,11.7912
mol9,rec_11_mol9.sdf,rec_final_11-noH.pdb,11.6356
mol9,rec_18_mol9.sdf,rec_final_18-noH.pdb,10.4209
mol9,rec_5_mol9.sdf,rec_final_5-noH.pdb,10.0842
mol10,rec_16_mol10.sdf,rec_final_16-noH.pdb,26.9708
mol10,rec_7_mol10.sdf,rec_final_7-noH.pdb,26.6776
mol10,rec_8_mol10.sdf,rec_final_8-noH.pdb,26.3732
mol10,rec_2_mol10.sdf,rec_final_2-noH.pdb,25.8905
mol10,rec_11_mol10.sdf,rec_final_11-noH.pdb,25.8329
mol10,rec_3_mol10.sdf,rec_final_3-noH.pdb,25.5916
mol10,rec_17_mol10.sdf,rec_final_17-noH.pdb,25.4312
mol10,rec_13_mol10.sdf,rec_final_13-noH.pdb,25.0861
mol10,rec_15_mol10.sdf,rec_final_15-noH.pdb,25.0245
mol10,rec_14_mol10.sdf,rec_final_14-noH.pdb,24.9962
mol10,rec_19_mol10.sdf,rec_final_19-noH.pdb,24.5580
mol10,rec_9_mol10.sdf,rec_final_9-noH.pdb,24.4823
mol10,rec_20_mol10.sdf,rec_final_20-noH.pdb,22.5602
mol10,rec_4_mol10.sdf,rec_final_4-noH.pdb,19.9776
mol10,rec_6_mol10.sdf,rec_final_6-noH.pdb,19.7005
mol10,rec_10_mol10.sdf,rec_final_10-noH.pdb,19.3854
