N,percent
1,50.0
2,25.0
3,25.0
4,50.0
5,75.0
6,75.0
7,75.0
8,75.0
9,50.0
10,50.0
11,50.0
12,50.0
13,75.0
14,75.0
15,75.0
16,75.0
17,75.0
18,75.0
19,75.0
20,75.0
