N,percent_below_2.0A
1,41.67
2,58.33
3,62.5
4,67.71
5,71.88
6,72.92
7,72.92
8,75.0
9,76.04
10,77.08
11,77.08
12,77.08
13,77.08
14,78.12
15,78.12
16,78.12
17,79.17
18,79.17
19,79.17
20,79.17
