N,percent_below_2.0A
1,43.62
2,55.32
3,61.7
4,63.83
5,70.21
6,70.21
7,73.4
8,73.4
9,74.47
10,75.53
11,75.53
12,80.85
13,87.23
14,88.3
15,88.3
16,88.3
17,88.3
18,89.36
19,90.43
20,90.43
