N,percent
1,57.142857142857146
2,57.142857142857146
3,71.42857142857143
4,71.42857142857143
5,85.71428571428571
6,85.71428571428571
7,85.71428571428571
8,85.71428571428571
9,85.71428571428571
10,85.71428571428571
11,85.71428571428571
12,85.71428571428571
13,100.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
