N,percent
1,50.0
2,50.0
3,50.0
4,50.0
5,50.0
6,50.0
7,50.0
8,62.5
9,62.5
10,62.5
11,62.5
12,62.5
13,62.5
14,62.5
15,62.5
16,62.5
17,62.5
18,62.5
19,62.5
20,62.5
