N,percent
1,36.8421052631579
2,51.578947368421055
3,57.89473684210526
4,65.26315789473684
5,67.36842105263158
6,69.47368421052632
7,69.47368421052632
8,70.52631578947368
9,70.52631578947368
10,70.52631578947368
11,71.57894736842105
12,73.6842105263158
13,73.6842105263158
14,73.6842105263158
15,73.6842105263158
16,73.6842105263158
17,73.6842105263158
18,73.6842105263158
19,73.6842105263158
20,73.6842105263158
