N,avg_percent_below_2A
1,39.63
2,56.00
3,64.70
4,70.30
5,74.01
6,77.38
7,80.17
8,82.40
9,83.78
10,85.19
11,86.14
12,86.66
13,87.63
14,88.37
15,88.83
16,89.32
17,89.57
18,89.87
19,90.14
20,90.43
