N,Iteration,Molecule,LowestRMSD
1,0,mol0,6.253488004445998
1,0,mol1,2.5536111683750917
1,0,mol2,3.158850496136916
1,0,mol3,3.3233718948308133
1,0,mol4,1.9314847532403672
1,0,mol5,0.9994253890778111
1,0,mol6,0.8431187096556622
1,0,mol7,2.6743081006697214
1,0,mol8,5.189950712014793
1,0,mol9,1.50120451146341
1,0,mol10,2.306799424527413
1,0,mol11,2.187324836491675
1,0,mol12,1.5172648372248891
1,0,mol13,1.3149419478978772
1,0,mol14,1.1164829777027503
1,0,mol15,0.9510922665407829
1,0,mol16,0.7902953322051592
1,0,mol17,2.1680418837156847
1,0,mol18,0.8999377908238666
1,0,mol19,2.809820607879005
1,0,mol20,0.692017965529353
1,0,mol21,5.384563842622518
1,0,mol23,3.4325743863025027
1,0,mol24,3.8421271126089054
1,0,mol25,9.002923530110895
1,0,mol26,5.124113217368619
1,0,mol27,4.902271825038112
1,0,mol28,0.9794979792300696
1,0,mol29,5.110589527522586
1,0,mol30,1.4177127138066052
1,0,mol31,1.1501356262415317
1,0,mol32,3.6770770200566343
1,0,mol34,1.0191576443583465
1,0,mol35,4.718461262447472
1,0,mol36,3.727847847807096
1,0,mol37,4.858854390536673
1,0,mol38,3.0929117127275507
1,0,mol39,1.0579464782303496
1,0,mol40,2.960955448077529
1,0,mol41,1.569155448248908
1,0,mol43,2.430207331690035
1,0,mol44,5.169014855629095
1,0,mol45,2.9828163945489075
1,0,mol46,5.024984223502758
1,0,mol57,0.9150179353013125
1,1,mol0,2.08324656287968
1,1,mol1,1.5267739941622014
1,1,mol2,4.40217864575788
1,1,mol3,1.149883058684077
1,1,mol4,1.9224829593894603
1,1,mol5,1.0002354458937268
1,1,mol6,3.1974828398214084
1,1,mol7,3.1515227018672447
1,1,mol8,5.09489852123811
1,1,mol9,1.5016515905907768
1,1,mol10,5.233039100948781
1,1,mol11,2.2524508696824745
1,1,mol12,2.4242817742916745
1,1,mol13,1.6367572996778663
1,1,mol14,1.1384163317960612
1,1,mol15,0.9753858316206545
1,1,mol16,0.7902953322051592
1,1,mol17,1.9049858864903098
1,1,mol18,5.216744666512655
1,1,mol19,4.142357096834157
1,1,mol20,0.7008059484878089
1,1,mol21,6.685588876892845
1,1,mol23,6.001576293566551
1,1,mol24,7.294604104290605
1,1,mol25,8.72039758414774
1,1,mol26,6.02946369771465
1,1,mol27,4.902271825038112
1,1,mol28,5.7113204364803325
1,1,mol29,6.027909244017998
1,1,mol30,4.358870926054132
1,1,mol31,2.1335585083962427
1,1,mol32,1.1908251352978503
1,1,mol34,1.0191576443583465
1,1,mol35,4.926796080177479
1,1,mol36,2.160811977104903
1,1,mol37,1.034866202553499
1,1,mol38,3.0790829315058907
1,1,mol39,1.0588835926578521
1,1,mol40,3.1319359389202073
1,1,mol41,1.7954508798056474
1,1,mol43,1.0334237272290587
1,1,mol44,1.5304782036997457
1,1,mol45,2.9828163945489075
1,1,mol46,1.153013021217356
1,1,mol57,4.295402150824494
1,2,mol0,0.8915981279421804
1,2,mol1,2.4713091286300064
1,2,mol2,2.616454966223913
