docked_file,ligand_RMSD_A,pocket_RMSD_A
rec_11_mol0.pdb,6.149076642958324,1.7016531229019165
rec_11_mol1.pdb,4.948737394528022,1.9310717582702637
rec_11_mol10.pdb,3.2787222238324234,1.589155673980713
rec_11_mol11.pdb,3.436503647812493,2.316859722137451
rec_11_mol12.pdb,3.7001839819122506,1.8523977994918823
rec_11_mol13.pdb,6.424728534097149,1.9338891506195068
rec_11_mol14.pdb,0.961926417369038,1.7526458501815796
rec_11_mol15.pdb,0.8922448920382905,1.8017492294311523
rec_11_mol16.pdb,3.3035137293494032,2.2133145332336426
rec_11_mol17.pdb,6.065299486187212,1.758803367614746
rec_11_mol18.pdb,4.748406596778896,1.9752672910690308
rec_11_mol19.pdb,9.844383804341412,1.50859797000885
rec_11_mol2.pdb,0.553152343528901,1.8176279067993164
rec_11_mol20.pdb,5.829327101772507,1.7830668687820435
rec_11_mol21.pdb,6.499433318154965,1.6674268245697021
rec_11_mol22.pdb,3.7998659625483286,2.0017318725585938
rec_11_mol23.pdb,1.2182824307528537,1.7109686136245728
rec_11_mol24.pdb,1.4473822286422735,1.7774403095245361
rec_11_mol25.pdb,1.5890328505100204,1.947743535041809
rec_11_mol26.pdb,4.087478304393662,1.5789706707000732
rec_11_mol27.pdb,4.104153808034002,2.1350693702697754
rec_11_mol28.pdb,1.9012025074565242,1.779114007949829
rec_11_mol29.pdb,0.9076967894283099,1.8721855878829956
rec_11_mol3.pdb,2.5401006354267226,1.6112511157989502
rec_11_mol30.pdb,0.9040052756823591,1.475685954093933
rec_11_mol31.pdb,6.188498832905929,1.6427791118621826
rec_11_mol32.pdb,7.039417965249236,1.6681674718856812
rec_11_mol33.pdb,3.513634881429771,1.639137625694275
rec_11_mol34.pdb,6.441789270070855,1.5346391201019287
rec_11_mol35.pdb,4.930379204156025,1.900655746459961
rec_11_mol36.pdb,2.3577438125704595,1.5994492769241333
rec_11_mol37.pdb,5.022146373812697,1.8411309719085693
rec_11_mol38.pdb,1.677836851425072,1.791733741760254
rec_11_mol39.pdb,5.164007267340244,1.6503173112869263
rec_11_mol4.pdb,0.7378085353142837,1.699754238128662
rec_11_mol42.pdb,0.8095472093772705,1.6581536531448364
rec_11_mol43.pdb,6.229493895529912,1.5679759979248047
rec_11_mol44.pdb,5.511628901428217,1.6781094074249268
rec_11_mol45.pdb,5.517354319392067,1.600161075592041
rec_11_mol46.pdb,4.90273145136571,1.7554022073745728
rec_11_mol47.pdb,5.91321094899148,1.6041491031646729
rec_11_mol48.pdb,1.789122663419673,1.6873263120651245
rec_11_mol49.pdb,4.156326516935913,1.6091578006744385
rec_11_mol5.pdb,4.869182351708914,1.6700764894485474
rec_11_mol50.pdb,3.5181635253224215,1.747920036315918
rec_11_mol51.pdb,6.598376874728542,1.7322427034378052
rec_11_mol52.pdb,1.1218190919216875,1.4548403024673462
rec_11_mol53.pdb,4.255334694666961,1.7394134998321533
rec_11_mol54.pdb,1.0784178805082936,1.3725279569625854
rec_11_mol55.pdb,5.206431398930048,1.5026483535766602
rec_11_mol56.pdb,1.3128654729255393,1.621696949005127
rec_11_mol57.pdb,2.4877119507692202,1.6361533403396606
rec_11_mol58.pdb,6.3890592555890855,1.7526744604110718
rec_11_mol59.pdb,5.901617443078164,2.0953874588012695
rec_11_mol6.pdb,5.49485916056494,1.8902559280395508
rec_11_mol60.pdb,3.957568485595899,1.64046311378479
rec_11_mol61.pdb,1.223381718544254,1.7350877523422241
rec_11_mol62.pdb,7.481582627042433,1.7744529247283936
rec_11_mol63.pdb,5.181591329493513,1.6496214866638184
rec_11_mol64.pdb,0.9849199488057674,1.6335622072219849
rec_11_mol66.pdb,4.381772773661363,2.0308313369750977
rec_11_mol67.pdb,5.651338469778641,1.7548871040344238
rec_11_mol68.pdb,5.7410599643520275,1.6321897506713867
rec_11_mol69.pdb,2.9614771195688365,1.9900215864181519
rec_11_mol7.pdb,2.8642830002049657,2.0629448890686035
rec_11_mol70.pdb,6.534232198856376,1.6186953783035278
rec_11_mol71.pdb,6.12754867323444,1.7652732133865356
rec_11_mol72.pdb,5.009388571583473,1.8630684614181519
rec_11_mol73.pdb,5.61226170707942,1.5249847173690796
rec_11_mol74.pdb,5.964576364326502,1.6188443899154663
rec_11_mol75.pdb,5.944236511724368,1.6708167791366577
rec_11_mol76.pdb,0.6672844107638696,1.846756100654602
rec_11_mol77.pdb,2.027907243410997,2.0581932067871094
rec_11_mol79.pdb,0.8466656660099071,2.0348923206329346
rec_11_mol8.pdb,1.8529060887385014,1.4381052255630493
rec_11_mol80.pdb,6.324829815892282,1.5734961032867432
rec_11_mol81.pdb,6.4714716255269185,1.6407667398452759
rec_11_mol82.pdb,0.4899288063526347,1.7489409446716309
rec_11_mol83.pdb,1.1849667328219546,1.8032530546188354
rec_11_mol85.pdb,6.02974548043477,1.7686898708343506
rec_11_mol86.pdb,1.321493482768644,1.6053811311721802
rec_11_mol87.pdb,0.8278116681315485,1.6174278259277344
rec_11_mol88.pdb,2.7107233147056697,1.6510951519012451
rec_11_mol89.pdb,1.00945420896641,1.9614200592041016
rec_11_mol9.pdb,6.644422430021395,1.64607834815979
rec_11_mol90.pdb,6.528124034649211,1.9701610803604126
rec_11_mol91.pdb,5.2180455688718865,1.7837666273117065
rec_11_mol92.pdb,3.89181771298594,2.04929518699646
rec_11_mol93.pdb,5.274913586377505,1.8445687294006348
rec_11_mol94.pdb,5.362077416656927,2.059865713119507
rec_11_mol95.pdb,1.981618187498702,1.6161165237426758
rec_11_mol96.pdb,4.717471949138552,1.8936082124710083
rec_12_mol0.pdb,2.23631727427472,1.6485178470611572
rec_12_mol1.pdb,4.9461103101326,1.455930471420288
rec_12_mol10.pdb,0.8539519738745326,1.4894163608551025
rec_12_mol11.pdb,3.4365247187903565,2.097235679626465
rec_12_mol12.pdb,4.377906643971904,1.5076137781143188
rec_12_mol13.pdb,6.425238613222245,1.5734213590621948
rec_12_mol14.pdb,0.9551971637424503,1.5277659893035889
rec_12_mol15.pdb,1.6412402242463504,1.4471044540405273
rec_12_mol16.pdb,3.4921567146965216,1.7304962873458862
rec_12_mol17.pdb,1.2418416278138806,1.4541057348251343
rec_12_mol18.pdb,4.748964233563638,1.9103959798812866
rec_12_mol19.pdb,9.843801259207199,1.2762880325317383
rec_12_mol2.pdb,4.955401359765285,1.67124342918396
rec_12_mol20.pdb,5.628148471408355,1.4766101837158203
rec_12_mol21.pdb,0.6453365456433232,1.5222928524017334
rec_12_mol23.pdb,1.3388108075371883,1.456096887588501
rec_12_mol24.pdb,1.4297183381057226,1.695757508277893
rec_12_mol25.pdb,2.452028502077413,1.68057382106781
rec_12_mol26.pdb,4.087924892402737,2.0603761672973633
rec_12_mol27.pdb,4.099208533363483,1.8684535026550293
rec_12_mol28.pdb,1.1129464935188471,1.5797464847564697
rec_12_mol29.pdb,0.9293501037739306,1.6279364824295044
rec_12_mol3.pdb,1.8095381612839383,1.581885814666748
rec_12_mol30.pdb,0.9392754982104355,1.4309101104736328
rec_12_mol31.pdb,1.193333187991089,1.5976645946502686
rec_12_mol32.pdb,1.2408765365447798,1.45423424243927
rec_12_mol33.pdb,3.3634092346903017,1.4452162981033325
rec_12_mol34.pdb,1.0031805990377376,1.520632028579712
